11:35:37 [INFO] Step 1: Pulling stock universe from FMP...
11:35:37 [INFO] FMP API call: GET /company-screener (attempt 1)
11:35:38 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/company-screener?limit=10000&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:40 [INFO] Fetched stock list: 10000 stocks
11:35:40 [INFO] Loaded 10000 US equities with market cap > 0
11:35:43 [INFO] Universe synced to database
11:35:43 [INFO] Step 2: Quick screening for dilution candidates...
11:35:43 [INFO] Screening progress: 0/500 (candidates so far: 0)
11:35:43 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:43 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=UMMA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:43 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:44 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=UMMA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:44 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:45 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=BIOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:45 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:46 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=BIOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:46 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:46 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=NBSM&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:46 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:47 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=NBSM&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:47 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:48 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=ESSA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:48 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:48 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=ESSA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:48 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:49 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=OPBK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:49 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:50 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=OPBK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:50 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:50 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=AFOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:50 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:51 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AFOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:51 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:52 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=AMBR&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:52 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:52 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AMBR&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:52 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:53 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=FNK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:53 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:54 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=FNK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:54 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:54 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=EYES&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:54 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:55 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=EYES&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:55 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:55 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=RNGTU&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:55 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:56 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=RNGTU&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:56 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:57 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=QSI&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:57 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:35:58 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=QSI&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:58 [INFO] FMP API call: GET /income-statement (attempt 1)
11:35:58 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=TOV&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:35:58 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
