11:43:19 [INFO] Step 1: Pulling stock universe from FMP...
11:43:19 [INFO] FMP API call: GET /company-screener (attempt 1)
11:43:20 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/company-screener?limit=10000&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:22 [INFO] Fetched stock list: 10000 stocks
11:43:22 [INFO] Loaded 10000 US equities with market cap > 0
11:43:24 [INFO] Universe synced to database
11:43:24 [INFO] Step 2: Quick screening for dilution candidates...
11:43:24 [INFO] Screening progress: 0/10000 (candidates so far: 0)
11:43:24 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:25 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=UMMA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:25 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:25 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=UMMA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:25 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:26 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=BIOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:26 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:27 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=BIOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:27 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:27 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=NBSM&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:27 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:28 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=NBSM&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:28 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:29 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=ESSA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:29 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:29 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=ESSA&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:29 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:30 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=EFSI&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:30 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:31 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=EFSI&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:31 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:31 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=OPBK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:31 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:32 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=OPBK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:32 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:32 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=AFOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:32 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:33 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AFOS&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:33 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:34 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=AMBR&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:34 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:35 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=AMBR&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:35 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:35 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=FNK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:35 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:36 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=FNK&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:36 [INFO] FMP API call: GET /income-statement (attempt 1)
11:43:36 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/income-statement?symbol=EYES&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:36 [INFO] FMP API call: GET /cash-flow-statement (attempt 1)
11:43:37 [INFO] HTTP Request: GET https://financialmodelingprep.com/stable/cash-flow-statement?symbol=EYES&period=quarter&limit=8&apikey=MwS3KbkRvGZ63lh3r05A5zjLNtwF4yh0 "HTTP/1.1 200 OK"
11:43:37 [INFO] FMP API call: GET /income-statement (attempt 1)
